id,bucket,condition_tag,duration_sec,wer,is_silent_control,reference,hypothesis
001,short-answer,short-answer,0.850,0.0000,0,"Yes.","Yes?"
002,short-answer,short-answer,2.600,0.0000,0,"No.","No."
003,short-answer,short-answer,1.250,0.0000,0,"Sure.","Sure."
004,short-answer,short-answer,0.800,0.0000,0,"Maybe.","Maybe."
005,short-answer,short-answer,1.100,1.0000,0,"Okay.","OK."
006,short-answer,short-answer,1.100,1.0000,0,"Yeah.","Ja."
007,short-answer,short-answer,1.500,0.0000,0,"Nope.","Nope."
008,short-answer,short-answer,1.350,1.0000,0,"Right.","write"
009,short-answer,short-answer,1.050,0.0000,0,"Problem.","problem"
010,short-answer,short-answer,0.850,0.0000,0,"Goal.","Goal"
011,short-phrase,short-phrase,2.050,0.0000,0,"I feel stuck at work.","I feel stuck at work."
012,short-phrase,short-phrase,2.450,0.0000,0,"I want to be more confident.","I want to be more confident."
013,short-phrase,short-phrase,2.400,0.0000,0,"I can't focus on anything.","I can't focus on anything."
014,short-phrase,short-phrase,2.200,0.0000,0,"My partner and I keep arguing.","My partner and I keep arguing."
015,short-phrase,short-phrase,3.950,0.0000,0,"I want to start my own business.","I want to start my own business."
016,short-phrase,short-phrase,2.750,0.0000,0,"I keep procrastinating on everything.","I keep procrastinating on everything."
017,short-phrase,short-phrase,2.650,0.0000,0,"I feel lonely most evenings.","I feel lonely most evenings."
018,short-phrase,short-phrase,2.000,0.0000,0,"I want to sleep better.","I want to sleep better."
019,short-phrase,short-phrase,2.300,0.0000,0,"I get anxious before meetings.","I get anxious before meetings."
020,short-phrase,short-phrase,2.500,0.1667,0,"I don't trust my own judgement.","I don't trust my own judgment."
021,short-phrase,short-phrase,2.800,0.0000,0,"I want to finish my dissertation.","I want to finish my dissertation."
022,short-phrase,short-phrase,3.150,0.0000,0,"Something bad happened last year.","Something bad happened last year."
023,short-phrase,short-phrase,2.650,0.0000,0,"I keep comparing myself to others.","I keep comparing myself to others."
024,short-phrase,short-phrase,2.600,0.0000,0,"It feels heavy on my chest.","It feels heavy on my chest."
025,short-phrase,short-phrase,2.100,0.0000,0,"I want this to stop hurting.","I want this to stop hurting."
026,long-utterance,long-utterance,11.150,0.0000,0,"When I think about the presentation tomorrow, my chest gets tight, and I keep rehearsing every possible question, and then I lose track of what I actually wanted to say.","When I think about the presentation tomorrow, my chest gets tight, and I keep rehearsing every possible question, and then I lose track of what I actually wanted to say."
027,long-utterance,long-utterance,12.500,0.0000,0,"The feeling is like a low hum that sits behind everything I do, and it gets louder whenever I try to slow down or sit still, and I notice it most in the evenings.","The feeling is like a low hum that sits behind everything I do, and it gets louder whenever I try to slow down or sit still, and I notice it most in the evenings."
028,long-utterance,long-utterance,10.050,0.0000,0,"I keep thinking about the conversation with my manager, replaying what I should have said, and then I spiral into wondering whether I am in the wrong job entirely.","I keep thinking about the conversation with my manager, replaying what I should have said, and then I spiral into wondering whether I am in the wrong job entirely."
029,long-utterance,long-utterance,13.050,0.0000,0,"When I picture myself having actually finished the book, I feel lighter, and then almost immediately I feel the pressure of the empty page that still needs to be written.","When I picture myself having actually finished the book, I feel lighter, and then almost immediately I feel the pressure of the empty page that still needs to be written."
030,long-utterance,long-utterance,12.950,0.0000,0,"It started after the move, I think, because that is when I stopped seeing my old friends, and the house felt empty in a way I had not expected it to feel.","It started after the move, I think, because that is when I stopped seeing my old friends, and the house felt empty in a way I had not expected it to feel."
031,long-utterance,long-utterance,11.150,0.0000,0,"There is a part of me that wants to rest, and a part of me that thinks I do not deserve to rest until I have earned it, and those two voices argue all day.","There is a part of me that wants to rest, and a part of me that thinks: I do not deserve to rest until I have earned it, and those two voices argue all day."
032,long-utterance,long-utterance,13.350,0.0000,0,"When I imagine telling my parents, my throat tightens, and my voice goes up a register, and I start talking very fast, even though nothing bad has actually happened.","When I imagine telling my parents, my throat tightens and my voice goes up a register, and I start talking very fast, even though nothing bad has actually happened."
033,long-utterance,long-utterance,11.200,0.0000,0,"The goal is to be able to walk into a room and not scan it for exits, because right now I can feel myself checking where the door is before I have even said hello.","The goal is to be able to walk into a room and not scan it for exits, because right now I can feel myself checking where the door is before I have even said hello."
034,long-utterance,long-utterance,12.350,0.0000,0,"When I think about it from a distance, it is not that big a deal, but when I am in it, my body acts like something is about to go very wrong, and I cannot talk myself out.","When I think about it from a distance, it is not that big a deal, but when I am in it, my body acts like something is about to go very wrong, and I cannot talk myself out."
035,long-utterance,long-utterance,11.100,0.0588,0,"Part of why I came today is that I have tried journaling, and I have tried meditating, and I still end up back in the same loop, and I want to try something different.","Part of why I came today is that I have tried journaling, and I have tried meditating, and I still end up back in the same loop, and I wanna try something different."
